census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,2045,FACULDADE AMADEUS,private_for_profit,faculty,1345,2,28,2800308,1,1832089.46,0,406355.88,720392.43,387903.61,508219.46,171241.09,0,0,241718.69
2019,2049,INSTITUTO DE ESTUDOS SUPERIORES DO MARANHÃO,private_nonprofit,faculty,1346,2,21,2111300,1,1931701.14,0,0,891293.25,334410.54,381647.12,203648.9,20957.1,20967.13,0
2019,2054,FACULDADE DE EDUCAÇÃO DE NOVA ANDRADINA,private_nonprofit,faculty,16134,5,50,5006200,1,258247286.25,0,2720403.15,3460849.11,458012.91,3064638.38,54798549.74,0,0,118628611.22
2019,2056,FACULDADE DA ALTA PAULISTA,private_for_profit,faculty,191,3,35,3555000,1,10127965,0,460011.14,3150937.2,1296770,1860692.8,1159125.2,445050.1,483569.6,1301776.9
2019,2058,FACULDADE METROPOLITANA,private_for_profit,faculty,1352,1,11,1100205,1,9458510.26,0,98663.91,3088473.79,518129.67,1093250.57,722795.81,302990.61,0,0
2019,2067,FACULDADE DE CIÊNCIAS E EMPREENDEDORISMO,private_for_profit,faculty,1359,2,29,2928703,1,19791509.92,7530128.32,207602.72,3462729.92,1202741.28,2617231.76,10010703.04,3155838.4,0,693938.96
2019,2069,FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS,private_nonprofit,faculty,1361,1,16,1600303,2,1809710.87,0,276632.59,570642,440045,161936.56,0,0,70321.3,715807.25
2019,2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL,private_nonprofit,faculty,1364,1,12,1200203,1,576632.33,0,0,206054.44,93779.65,102741.55,152211.45,0,0,0
2019,2073,INSTITUTO SUPERIOR DE EDUCAÇÃO PADRÃO,private_for_profit,faculty,828,5,52,5208707,2,76032,0,20000,39000,81900,32760,0,0,0,0
2019,2075,INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS,private_for_profit,faculty,637,2,27,2704302,1,9115291.37,0,236596.29,2312687.53,481050.6,1333907.91,4647001.39,0,0,0
