program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
52159,2,active,ARTES PLÁSTICAS,4229,0114A02,license,classroom,2800,0,110
52163,15032,active,FARMÁCIA,1048576,0916F01,bachelor,classroom,4020,20,67
52185,441,active,PSICOLOGIA,332,0313P01,bachelor,classroom,4005,15,51
52189,19,active,LETRAS - PORTUGUÊS E INGLÊS,657681,0115L15,license,classroom,4227,0,113
52192,19,active,PUBLICIDADE E PROPAGANDA,657681,0414P01,bachelor,classroom,3166,0,532
52196,19,active,FILOSOFIA,657681,0223F01,bachelor,classroom,2464,0,116
52208,150,active,NUTRIÇÃO,1000208,0915N01,bachelor,classroom,3840,7,198
52210,150,active,SISTEMAS DE INFORMAÇÃO,1000208,0615S02,bachelor,classroom,3600,0,52
52216,794,active,FISIOTERAPIA,658106,0915F01,bachelor,classroom,4000,0,291
52225,19,active,GEOGRAFIA,657681,0114G01,license,classroom,3256,0,67
52231,580,active,GEOGRAFIA,1153,0114G01,license,classroom,2900,0,440
52233,794,active,FARMÁCIA,658106,0916F01,bachelor,classroom,4000,0,155
52238,95,active,DIREITO,697263,0421D01,bachelor,classroom,3720,13.7,449
52246,441,active,ADMINISTRAÇÃO,337,0413A01,bachelor,classroom,3000,20,18
52249,580,active,GEOGRAFIA,1153,0312G01,bachelor,classroom,2510,0,208
52256,56,active,CIÊNCIAS BIOLÓGICAS,735,0114B01,license,classroom,3450,0,47
52258,572,active,DIREITO,1066408,0421D01,bachelor,classroom,3720,0,549
52268,1716,active,ENGENHARIA AMBIENTAL,1073873,0712E01,bachelor,classroom,3900,0,17
52270,673,active,BIOMEDICINA,658024,0914B01,bachelor,classroom,4330,20,210
52283,513,active,ENFERMAGEM,33661,0913E01,bachelor,classroom,4000,20,187
52318,1267,extinction,TURISMO,1076296,1015T01,bachelor,classroom,2400,20,0
52327,513,active,ADMINISTRAÇÃO,1075118,0413A01,bachelor,classroom,3000,20,108
52352,1365,active,ADMINISTRAÇÃO,658431,0413A01,bachelor,classroom,3506,11.25,199
52383,513,active,SISTEMAS DE INFORMAÇÃO,33661,0615S02,bachelor,classroom,3000,20,36
52386,383,active,ARTES VISUAIS,657865,0114A02,license,classroom,3360,0,153
52435,1120,active,GEOGRAFIA,132235,0114G01,license,classroom,4020,0,373
52437,1120,active,DESIGN GRÁFICO,132235,0211D01,technology,classroom,2116,0,298
52442,1120,active,MATEMÁTICA,132235,0114M01,license,classroom,3600,0,230
52445,1598,active,CIÊNCIAS CONTÁBEIS,658610,0411C01,bachelor,classroom,3000,10,127
52458,437,active,DIREITO,476,0421D01,bachelor,classroom,4600,40,231
52461,437,active,ADMINISTRAÇÃO,476,0413A01,bachelor,classroom,3600,40,53
52465,453,active,FARMÁCIA,686979,0916F01,bachelor,classroom,4582,16.2,170
52472,573,active,ARTES VISUAIS,1072,0114A02,license,classroom,2820,0,282
52489,403,active,SISTEMA DE INFORMAÇÃO,657876,0615S02,bachelor,classroom,3010,18,35
52497,513,active,EDUCAÇÃO FÍSICA,33661,0114E03,license,classroom,2920,20,9
52522,1045,active,CIÊNCIA DA COMPUTAÇÃO,658217,0614C01,bachelor,classroom,3330,12,16
52535,730,active,ENGENHARIA DE COMPUTAÇÃO,658062,0616E01,bachelor,classroom,4382,0,188
52543,1045,active,EDUCAÇÃO FÍSICA,658217,0114E03,license,classroom,2800,0,3
52551,11,active,TEOLOGIA,657677,0221T01,bachelor,classroom,2610,20,107
52554,1045,active,MEDICINA VETERINÁRIA,658217,0841M01,bachelor,classroom,4000,20,441
52589,19,active,FARMÁCIA,2560,0916F01,bachelor,classroom,4675,0,108
52665,426,active,CIÊNCIA DA COMPUTAÇÃO,657887,0614C01,bachelor,classroom,3604,0,66
52667,449,active,ENFERMAGEM,703734,0913E01,bachelor,classroom,4056,15,115
52743,1414,active,BIOMEDICINA,658461,0914B01,bachelor,classroom,3340,0,296
52753,1045,active,ADMINISTRAÇÃO,704575,0413A01,bachelor,classroom,3000,18,117
52756,738,active,BIOLOGIA,106387,0114B01,license,classroom,3600,20,77
52760,1883,active,CIÊNCIAS BIOLÓGICAS,105059,0114B01,license,classroom,2820,20,34
52763,1883,active,EDUCAÇÃO FÍSICA,105059,0114E03,license,classroom,2800,20,26
52779,3515,active,ADMINISTRAÇÃO,691887,0413A01,bachelor,classroom,3036,0,188
52783,1895,active,FISIOTERAPIA,3349,0915F01,bachelor,classroom,4000,0,239
52797,522,active,PSICOLOGIA,687214,0114P01,license,classroom,2800,20,0
52809,449,active,SISTEMAS DE INFORMAÇÃO,406,0615S02,bachelor,classroom,3060,20,104
52829,449,active,ADMINISTRAÇÃO,703734,0413A01,bachelor,classroom,3060,15,131
52831,222,active,CIÊNCIAS BIOLÓGICAS,657791,0114B01,license,classroom,3264,16,12
52834,222,active,QUÍMICA,657791,0114Q01,license,classroom,3660,10,4
52852,3,active,PSICOLOGIA,1006435,0313P01,bachelor,classroom,4335,0,240
52863,449,active,DIREITO,703734,0421D01,bachelor,classroom,3784,15,209
52876,1066,active,CIÊNCIAS CONTÁBEIS,658233,0411C01,bachelor,classroom,3000,20,78
52889,1513,active,ARQUITETURA E URBANISMO,658543,0731A02,bachelor,classroom,3960,20,303
52891,1624,active,FISIOTERAPIA,658632,0915F01,bachelor,classroom,4512,0,132
52894,1396,active,LETRAS - PORTUGUÊS E INGLÊS E RESPECTIVAS LITERATURAS,658448,0115L15,license,classroom,3600,8,35
52901,1573,active,ADMINISTRAÇÃO,658590,0413A01,bachelor,classroom,3080,12,423
52904,1396,active,DIREITO,658448,0421D01,bachelor,classroom,3766,0,770
52906,1107,active,DIREITO,658260,0421D01,bachelor,classroom,4116,20,5280
52908,449,active,ADMINISTRAÇÃO,410,0413A01,bachelor,classroom,3060,20,225
52910,1658,active,DIREITO,696081,0421D01,bachelor,classroom,4000,0,1414
52912,1273,active,DIREITO,701928,0421D01,bachelor,classroom,3902,20,607
52914,1423,active,DIREITO,1042466,0421D01,bachelor,classroom,4080,20,731
52917,4826,active,DIREITO,32681,0421D01,bachelor,classroom,3700,19,590
52919,1046,active,DIREITO,658218,0421D01,bachelor,classroom,4100,0,433
52921,1910,active,DIREITO,658867,0421D01,bachelor,classroom,4060,0,715
52929,449,active,DIREITO,411,0421D01,bachelor,classroom,3784,7,292
52933,449,active,PEDAGOGIA,411,0113P01,license,classroom,3328,10,104
52957,146,active,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1039538,0414P01,bachelor,classroom,3060,15.8,40
52958,146,active,JORNALISMO,1039538,0321J01,bachelor,classroom,2706,15.8,64
52961,222,active,MATEMÁTICA,1045282,0114M01,license,classroom,3696,0,1
52963,519,active,MÚSICA,2758,0114M02,license,classroom,3690,15.13,172
52971,11,active,ARQUITETURA E URBANISMO,657677,0731A02,bachelor,classroom,3720,2,543
52975,2122,active,ADMINISTRAÇÃO,100687,0413A01,bachelor,classroom,3016,20,507
52977,11,active,FISIOTERAPIA,657677,0915F01,bachelor,classroom,4050,0,306
52987,2123,active,ADMINISTRAÇÃO,1055645,0413A01,bachelor,classroom,3000,0,241
53011,322,active,FISIOTERAPIA,695414,0915F01,bachelor,classroom,4000,20,501
53027,398,active,DIREITO,518,0421D01,bachelor,classroom,4000,8.18,464
53037,449,active,DIREITO,406,0421D01,bachelor,classroom,3784,20,251
53045,449,active,DIREITO,410,0421D01,bachelor,classroom,3784,20,354
53101,569,active,AGRONOMIA,259,0811A04,bachelor,classroom,4235,0,158
53119,1032,active,ENGENHARIA ELÉTRICA,413,0713E05,bachelor,classroom,4320,20,16
53120,1032,active,ENGENHARIA DE AUTOMAÇÃO E CONTROLE,413,0714E05,bachelor,classroom,4320,20,206
53122,568,active,CIÊNCIAS,2002650,0114C02,license,classroom,3375,0,2
53156,2168,active,CIÊNCIAS CONTÁBEIS,1063042,0411C01,bachelor,classroom,3000,20,3
53158,2168,extinction,COMUNICAÇÃO SOCIAL,659019,0321C01,bachelor,classroom,2700,20,0
53161,2168,extinction,TURISMO,659019,1015T01,bachelor,classroom,2400,20,0
53163,437,active,ENFERMAGEM,475,0913E01,bachelor,classroom,4800,40,84
53165,437,active,FARMÁCIA,473,0916F01,bachelor,classroom,4800,40,51
53167,437,active,FARMÁCIA,471,0916F01,bachelor,classroom,4800,40,65
53171,437,active,EDUCAÇÃO FÍSICA,24877,0114E03,license,classroom,3360,40,2
53175,437,active,ENFERMAGEM,24877,0913E01,bachelor,classroom,4800,40,122
53177,437,active,FARMÁCIA,24877,0916F01,bachelor,classroom,4800,40,58
53190,1984,active,ADMINISTRAÇÃO,703191,0413A01,bachelor,classroom,3360,7.59,86
53193,569,active,ENGENHARIA DA COMPUTAÇÃO,1005925,0616E01,bachelor,classroom,3600,0,431
53202,569,active,MEDICINA VETERINÁRIA,1005930,0841M01,bachelor,classroom,5055,0,179
53205,1469,active,ADMINISTRAÇÃO,658511,0413A01,bachelor,classroom,3512,0,117
53243,18440,active,AGRONOMIA,1072603,0811A04,bachelor,classroom,4235,0,170
53274,437,active,ARQUITETURA E URBANISMO,24877,0731A02,bachelor,classroom,4320,40,162
53290,1362,active,ADMINISTRAÇÃO,658428,0413A01,bachelor,classroom,3018,19.64,142
53295,2085,active,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1058882,0414P01,bachelor,classroom,2700,20,6
53296,2085,active,ADMINISTRAÇÃO,1058882,0413A01,bachelor,classroom,3000,20,0
53301,2086,active,ADMINISTRAÇÃO,658975,0413A01,bachelor,classroom,3000,20,161
53314,343,active,ODONTOLOGIA,24367,0911O01,bachelor,classroom,4115,20,1522
53331,1053,active,SISTEMAS DE INFORMAÇÃO,658223,0615S02,bachelor,classroom,3220,11,54
53333,1364,active,SISTEMAS DE INFORMAÇÃO,699310,0615S02,bachelor,classroom,3000,10,122
53335,396,active,DIREITO,1101305,0421D01,bachelor,classroom,4080,20,485
53338,549,active,MEDICINA,25090,0912M01,bachelor,classroom,8765,0,486
53340,1556,active,DIREITO,658576,0421D01,bachelor,classroom,4400,10,802
