HEI_code,students_total,students_bachelor,students_license,students_technology,students_base_cycle,students_certification,students_classroom,students_distance,dist_load,campi,census_year,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses,teaching_bac_dist,teaching_bac_pres,teaching_post_dist,teaching_post_pres,service_external,service_management,research,research_w_funding,full_time_ex,full_time_nex,part_time,hourly_contract,doctor,master,specialist,bachelor,none,active,communitary,confessional,filantropic
14882,66,3,1,1,0,0,5,0,0.19,1,2019,FACULDADE HORIZONTE,private_for_profit,faculty,14259,5,53,5300108,2,578000,235000,98000,187000,115530,75380,22000,350000,12000,12000,0,1,0.125,0.125,0.25,0.5,0.25,0,0.5,0,0,0.5,0.125,0.75,0.125,0,0,TRUE,FALSE,FALSE,FALSE
14890,469,4,1,0,0,0,5,0,0.2,1,2019,FACULDADE PRAIA GRANDE,private_for_profit,faculty,14226,3,35,3541000,1,2935908.7,0,26394.58,903474.52,235195.77,511560.08,0,0,0,1217046.97,0,1,0,0,0,0.037037037037037,0,0,0,0.407407407407407,0.592592592592593,0,0.37037037037037,0.592592592592593,0.037037037037037,0,0,TRUE,FALSE,FALSE,FALSE
14892,496,1,0,0,0,0,1,0,0,1,2019,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,private_for_profit,faculty,3524,3,35,3505500,2,40594054.67,0,262110.52,5145584.21,1272231.64,3611708.12,5100872.58,7742727.77,0,0,0,1,0,0,0.174603174603175,0.53968253968254,0.0793650793650794,0,0.111111111111111,0,0.603174603174603,0.285714285714286,0.523809523809524,0.301587301587302,0.174603174603175,0,0,TRUE,FALSE,FALSE,FALSE
14901,822,8,0,0,0,0,8,0,0,2,2019,FACULDADE INTEGRADA CARAJÁS,private_for_profit,faculty,14228,1,15,1506138,1,3984123.41,0,697452.1,1224002.36,396410.25,798853.69,1e+05,0,80000,0,0,1,0,0,1,0.0882352941176471,0.397058823529412,0,0,0.455882352941176,0.544117647058824,0,0.397058823529412,0.397058823529412,0.205882352941176,0,0,TRUE,FALSE,FALSE,FALSE
14927,155,1,2,1,0,0,4,0,0,1,2019,FACULDADE SÃO GABRIEL DA PALHA,private_for_profit,faculty,14347,3,32,3204708,1,968656.69,0,62595.72,282764.39,223684.89,203280.9,41394.35,129659.33,63289.9,72918.49,0,1,0,0.714285714285714,1,0.714285714285714,0.714285714285714,0,0.0714285714285714,0.357142857142857,0.571428571428571,0,0.142857142857143,0.714285714285714,0.142857142857143,0,0,TRUE,FALSE,FALSE,FALSE
14947,654,4,0,2,0,0,6,0,0,1,2019,FACULDADE DE CIÊNCIAS DO TOCANTINS,private_for_profit,faculty,12440,1,17,1702109,2,12560170.84,0,10576.36,2733976.32,719187.85,1142300.59,504289.61,153393.85,0,504289.61,0,1,0,0.0517241379310345,0.0344827586206897,0.137931034482759,0.0344827586206897,0,0,0.155172413793103,0.396551724137931,0.448275862068966,0.258620689655172,0.275862068965517,0.46551724137931,0,0,TRUE,FALSE,FALSE,FALSE
14951,1443,10,0,0,0,0,10,0,0,1,2019,FACULDADE DE ENGENHARIA E INOVAÇÃO TÉCNICO PROFISSI,private_for_profit,faculty,14416,4,41,4115200,1,10510368.82,4065309.94,162000,5123220.82,2454656.86,504656.62,4084118.84,1580509.61,101665.85,447936.78,0,1,0,0,0.484848484848485,0.212121212121212,0.818181818181818,0,0,0.575757575757576,0.424242424242424,0,0.575757575757576,0.424242424242424,0,0,0,TRUE,FALSE,FALSE,FALSE
14961,40,0,0,1,0,0,1,0,0,1,2019,FACULDADE DE TECNOLOGIA EM SAÚDE - IAHCS,private_nonprofit,faculty,11347,4,43,4314902,1,1197746.25,0,0,529507.51,147996.24,182550.66,237590.87,0,0,0,0,1,0,0.333333333333333,0.19047619047619,0.238095238095238,0,0,0,0.0476190476190476,0.0952380952380952,0.857142857142857,0.238095238095238,0.523809523809524,0.238095238095238,0,0,TRUE,FALSE,FALSE,FALSE
14969,371,0,0,2,0,0,2,0,0.4,1,2019,FACULDADE DE TECNOLOGIA EM SAÚDE,private_for_profit,faculty,14479,3,35,3543402,1,5818091.21,0,11844.66,957313.8,515476.66,426317.7,0,230560.9,72839.21,1604695.34,0,0.961538461538461,0,0,0.730769230769231,0.153846153846154,0.0384615384615385,0,0,0.115384615384615,0.0384615384615385,0.846153846153846,0.576923076923077,0.307692307692308,0.115384615384615,0,0,TRUE,FALSE,FALSE,FALSE
14975,428,3,2,0,0,0,5,0,0,1,2019,FACULDADE DO NORDESTE DA BAHIA,private_for_profit,faculty,14498,2,29,2909208,1,1664033.3,0,0,680498.99,147854.08,322346.86,0,0,0,249403.53,0,1,0,0,0.609756097560976,0.658536585365854,0.585365853658537,0,0,0.146341463414634,0.75609756097561,0.0975609756097561,0.292682926829268,0.585365853658537,0.121951219512195,0,0,TRUE,FALSE,FALSE,FALSE
14996,429,8,0,7,0,0,15,0,0,1,2019,FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR,private_for_profit,faculty,14563,2,29,2927408,2,1168633.06,0,39072.86,1115688.22,387033.88,993347.72,528586.06,0,0,3332303.92,0,1,0,0,0,0,0,0,0,0.4,0.26,0.34,0.14,0.66,0.2,0,0,TRUE,FALSE,FALSE,FALSE
15001,3991,22,7,0,0,0,29,0,0,3,2019,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,federally_owned,university,15600,4,41,4108304,2,403140.64,160717777.04,515764.75,97884751.2,0,31413323.31,34197925.92,8062099.58,2598650.87,0,0,0.975169300225734,0,0.27765237020316,0.598194130925508,0.401805869074492,0.785553047404063,0.108352144469526,0.864559819413093,0.124153498871332,0.0112866817155756,0,0.830699774266366,0.133182844243792,0.036117381489842,0,0,TRUE,FALSE,FALSE,FALSE
15015,4851,13,15,1,0,0,28,1,0.178571428571429,5,2019,Universidade Estadual do Norte do Paraná,state_owned,university,14587,4,41,4111803,2,2370327.05,95285501.31,20446.12,55824960.99,13956240.25,8133044.64,11803152.83,2178524.93,1706216.74,0,0.0389344262295082,1,0,0.168032786885246,0.413934426229508,0.194672131147541,0.581967213114754,0.00409836065573771,0.448770491803279,0.241803278688525,0.309426229508197,0,0.594262295081967,0.338114754098361,0.055327868852459,0.0122950819672131,0,TRUE,FALSE,FALSE,FALSE
